BLOCK,LATITUDE,LONGITUDE,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT
1623 - 1646 BLOCK OF TRINIDAD AVENUE NE,38.90683412,-76.9837272,5,5D,5.0,506.0,Cluster 23,008804 1,8804.0,Precinct 78
1623 - 1699 BLOCK OF 19TH STREET NW,38.91223795,-77.04343381,2,2B,2.0,208.0,Cluster 6,004202 1,4202.0,Precinct 14
1624 - 1699 BLOCK OF NEW JERSEY AVENUE NW,38.91223458,-77.0172308,5,5E,3.0,308.0,Cluster 21,004600 2,4600.0,Precinct 19
1625 - 1699 BLOCK OF 13TH STREET NW,38.91223524,-77.02962285,2,2F,3.0,307.0,Cluster 7,005001 1,5001.0,Precinct 16
1626 - 1699 BLOCK OF C STREET NE,38.8933001,-76.98102142,7,7D,1.0,108.0,Cluster 25,007901 3,7901.0,Precinct 81
1626 - 1699 BLOCK OF FULLER STREET NW,38.92469218,-77.03846745,1,1C,3.0,303.0,Cluster 1,003802 2,3802.0,Precinct 35
1626 - 1699 BLOCK OF I STREET NW,38.90134365,-77.03898493,2,2C,2.0,207.0,Cluster 6,010700 1,10700.0,Precinct 17
1627 - 1699 BLOCK OF HOLBROOK STREET NE,38.90643163,-76.98134305,5,5D,5.0,506.0,Cluster 23,008804 2,8804.0,Precinct 78
1630 - 1699 BLOCK OF EUCLID STREET NW,38.92318169,-77.03838072,1,1C,3.0,303.0,Cluster 1,003802 2,3802.0,Precinct 35
1633 - 1669 BLOCK OF COLUMBIA ROAD NW,38.92549634,-77.03821013,1,1C,3.0,303.0,Cluster 1,003901 1,3901.0,Precinct 35
1634 - 1661 BLOCK OF 35TH STREET NW,38.91226957,-77.06922811,2,2E,2.0,206.0,Cluster 4,000202 1,202.0,Precinct 6
1637 - 1699 BLOCK OF WEST VIRGINIA AVENUE NE,38.90921618,-76.98720989,5,5D,5.0,501.0,Cluster 23,008803 2,8803.0,Precinct 76
1643 - 1699 BLOCK OF TRINIDAD AVENUE NE,38.90746401,-76.98328306,5,5D,5.0,506.0,Cluster 23,008804 2,8804.0,Precinct 78
1645 - 1679 BLOCK OF 34TH STREET NW,38.91221378,-77.06789574,2,2E,2.0,206.0,Cluster 4,000202 1,202.0,Precinct 6
1646 - 1699 BLOCK OF COLUMBIA ROAD NW,38.92514951,-77.03879798,1,1C,3.0,303.0,Cluster 1,003802 2,3802.0,Precinct 35
1649 - 1699 BLOCK OF MONTELLO AVENUE NE,38.90864717,-76.98606257,5,5D,5.0,506.0,Cluster 23,008804 1,8804.0,Precinct 76
1649 - 1799 BLOCK OF GOOD HOPE ROAD SE,38.86587319,-76.98016889,8,8A,6.0,607.0,Cluster 34,007605 2,7605.0,Precinct 112
1649 - 1799 BLOCK OF MARION BARRY AVENUE SE,38.86587319,-76.98016889,8,8A,6.0,607.0,Cluster 34,007605 2,7605.0,Precinct 112
1650 - 1691 BLOCK OF LANIER PLACE NW,38.92616328,-77.03941494,1,1C,3.0,303.0,Cluster 1,003901 1,3901.0,Precinct 35
1650 - 1699 BLOCK OF F STREET NE,38.89677624,-76.98042094,7,7D,5.0,507.0,Cluster 25,007901 4,7901.0,Precinct 81
1650 - 1798 BLOCK OF HARVARD STREET NW,38.92718483,-77.04018219,1,1C,3.0,303.0,Cluster 1,003901 1,3901.0,Precinct 35
1674 - 1799 BLOCK OF IRVING STREET NW,38.92881276,-77.04008762,1,1D,3.0,302.0,Cluster 2,002702 4,2702.0,Precinct 39
1690 - 1741 BLOCK OF LANIER PLACE NW,38.92563491,-77.04029929,1,1C,3.0,303.0,Cluster 1,003901 2,3901.0,Precinct 35
16TH STREET NE AND OKIE STREET NE,38.91580339,-76.98092411,5,5D,5.0,506.0,Cluster 23,008803 1,8803.0,Precinct 76
16TH STREET NE AND VARNUM PLACE NE,38.94341103,-76.98364295,5,5B,4.0,405.0,Cluster 20,009503 2,9503.0,Precinct 67
16TH STREET NE AND WEST VIRGINIA AVENUE NE,38.9153435,-76.98027425,5,5C,5.0,506.0,Cluster 23,008803 1,8803.0,Precinct 76
16TH STREET NW AND CORCORAN STREET NW,38.91186936,-77.03651494,2,2B,3.0,301.0,Cluster 6,005202 2,5202.0,Precinct 15
16TH STREET NW AND HARVARD STREET NW,38.92627233,-77.03648887,1,1C,3.0,302.0,Cluster 2,002802 2,2802.0,Precinct 35
16TH STREET NW AND IRVING STREET NW,38.92868737,-77.0364765,1,1D,3.0,302.0,Cluster 2,002702 1,2702.0,Precinct 39
16TH STREET NW AND L STREET NW,38.903739,-77.03653852,2,2C,2.0,207.0,Cluster 6,010100 1,10100.0,Precinct 17
16TH STREET NW AND M STREET NW,38.90565386,-77.03653369,2,2C,2.0,207.0,Cluster 6,010100 1,10100.0,Precinct 17
16TH STREET NW AND PARK ROAD NW,38.93165273,-77.03646037,1,1D,3.0,302.0,Cluster 2,002702 1,2702.0,Precinct 40
16TH STREET NW AND SPRING ROAD NW,38.93742706,-77.03644671,1,4C,4.0,404.0,Cluster 18,002504 2,2504.0,Precinct 47
16TH STREET NW AND TAYLOR STREET NW,38.94080809,-77.03643113,4,4E,4.0,404.0,Cluster 18,002600 1,2600.0,Precinct 47
1700 - 1709 BLOCK OF K STREET NW,38.90252321,-77.03897774,2,2C,2.0,207.0,Cluster 6,010700 1,10700.0,Precinct 17
1700 - 1712 BLOCK OF 17TH STREET SE,38.86915938,-76.98077202,8,8A,6.0,607.0,Cluster 34,007601 4,7601.0,Precinct 140
1700 - 1713 BLOCK OF 19TH STREET SE,38.86916842,-76.97735388,8,8A,6.0,607.0,Cluster 34,007601 3,7601.0,Precinct 133
1700 - 1717 BLOCK OF CONSTITUTION AVENUE NE,38.8920107,-76.98031263,7,7D,1.0,108.0,Cluster 25,008002 2,8002.0,Precinct 86
1700 - 1717 BLOCK OF L STREET NW,38.90374105,-77.03926017,2,2C,2.0,207.0,Cluster 6,010700 1,10700.0,Precinct 17
1700 - 1719 BLOCK OF 16TH STREET NW,38.91297747,-77.03651274,2,2B,3.0,301.0,Cluster 6,005302 1,5302.0,Precinct 15
1700 - 1719 BLOCK OF 3RD STREET NE,38.91296974,-77.00203533,5,5F,5.0,502.0,Cluster 21,008702 3,8702.0,Precinct 75
1700 - 1719 BLOCK OF 4TH STREET NW,38.91293801,-77.01616892,5,5E,3.0,308.0,Cluster 21,004600 2,4600.0,Precinct 19
1700 - 1719 BLOCK OF C STREET NE,38.89329908,-76.98031608,7,7D,5.0,507.0,Cluster 25,007901 2,7901.0,Precinct 81
1700 - 1719 BLOCK OF LINCOLN ROAD NE,38.912969,-77.0084268,5,5F,5.0,502.0,Cluster 21,008701 1,8701.0,Precinct 75
1700 - 1719 BLOCK OF Q STREET SE,38.8707419,-76.98034131,8,8A,6.0,607.0,Cluster 34,007601 4,7601.0,Precinct 140
1700 - 1720 BLOCK OF 14TH STREET NW,38.91297764,-77.0319524,2,2F,3.0,307.0,Cluster 7,005001 2,5001.0,Precinct 16
1700 - 1720 BLOCK OF 19TH STREET NW,38.9129861,-77.04343138,2,2B,2.0,208.0,Cluster 6,004202 2,4202.0,Precinct 14
1700 - 1721 BLOCK OF 13TH STREET NW,38.91297627,-77.02962282,2,2F,3.0,307.0,Cluster 7,005001 2,5001.0,Precinct 16
1700 - 1721 BLOCK OF 1ST STREET NW,38.91297462,-77.01215788,5,5E,3.0,308.0,Cluster 21,003302 2,3302.0,Precinct 19
1700 - 1722 BLOCK OF D STREET NE,38.89478005,-76.98031647,7,7D,5.0,507.0,Cluster 25,007901 2,7901.0,Precinct 81
1700 - 1723 BLOCK OF 17TH STREET NW,38.91298053,-77.03848292,2,2B,3.0,301.0,Cluster 6,005302 1,5302.0,Precinct 15
1700 - 1723 BLOCK OF NORTH CAPITOL STREET,38.91297193,-77.00904874,5,5F,5.0,502.0,Cluster 21,008701 1,8701.0,Precinct 75
1700 - 1725 BLOCK OF 16TH STREET SE,38.86915411,-76.98222326,8,8A,6.0,607.0,Cluster 34,007601 4,7601.0,Precinct 140
1700 - 1725 BLOCK OF NEW HAMPSHIRE AVENUE NW,38.91298271,-77.04030771,2,2B,3.0,301.0,Cluster 6,005302 1,5302.0,Precinct 15
1700 - 1725 BLOCK OF TRINIDAD AVENUE NE,38.90811345,-76.98283153,5,5D,5.0,506.0,Cluster 23,008804 2,8804.0,Precinct 78
1700 - 1729 BLOCK OF L STREET NE,38.90371369,-76.97952302,5,5D,5.0,507.0,Cluster 23,008903 3,8903.0,Precinct 78
1700 - 1730 BLOCK OF KALORAMA ROAD NW,38.92100735,-77.03946467,1,1C,3.0,303.0,Cluster 1,003802 3,3802.0,Precinct 24
1700 - 1733 BLOCK OF COLUMBIA ROAD NW,38.92465629,-77.03965317,1,1C,3.0,303.0,Cluster 1,003802 2,3802.0,Precinct 35
1700 - 1733 BLOCK OF EUCLID STREET NW,38.92313777,-77.03961023,1,1C,3.0,303.0,Cluster 1,003802 3,3802.0,Precinct 24
1700 - 1733 BLOCK OF PARK ROAD NW,38.93260649,-77.03938102,1,1D,3.0,302.0,Cluster 2,002703 2,2703.0,Precinct 40
1700 - 1737 BLOCK OF 11TH STREET NW,38.91314121,-77.02703525,2,2G,3.0,307.0,Cluster 7,004901 1,4901.0,Precinct 21
1700 - 1737 BLOCK OF NEWTON STREET NW,38.93417898,-77.03937854,1,1D,3.0,302.0,Cluster 2,002704 1,2704.0,Precinct 40
1700 - 1739 BLOCK OF NEW JERSEY AVENUE NW,38.9131849,-77.01757221,5,5E,3.0,308.0,Cluster 21,004600 2,4600.0,Precinct 19
1700 - 1749 BLOCK OF 2ND STREET NE,38.91296835,-77.00350578,5,5F,5.0,502.0,Cluster 21,008702 3,8702.0,Precinct 75
1700 - 1749 BLOCK OF R STREET NW,38.91260714,-77.03957187,2,2B,3.0,301.0,Cluster 6,005302 3,5302.0,Precinct 15
1700 - 1758 BLOCK OF BLADENSBURG ROAD NE,38.91302214,-76.97595483,5,5C,5.0,506.0,Cluster 23,008804 2,8804.0,Precinct 76
1700 - 1763 BLOCK OF STANTON TERRACE SE,38.84816652,-76.97924243,8,8C,7.0,704.0,Cluster 38,007404 1,7404.0,Precinct 117
1700 - 1779 BLOCK OF 3RD STREET NW,38.91300156,-77.01517698,5,5E,3.0,308.0,Cluster 21,004600 2,4600.0,Precinct 19
1700 - 1779 BLOCK OF KALMIA ROAD NW,38.98599896,-77.04124492,4,4A,4.0,401.0,Cluster 16,001600 4,1600.0,Precinct 62
1700 - 1779 BLOCK OF M STREET NW,38.90565396,-77.03981439,2,2C,2.0,207.0,Cluster 6,010700 1,10700.0,Precinct 17
1700 - 1779 BLOCK OF MONTANA AVENUE NE,38.92063919,-76.98007767,5,5C,5.0,505.0,Cluster 22,009102 1,9102.0,Precinct 72
1700 - 1780 BLOCK OF U STREET NW,38.91700401,-77.03984817,2,2B,3.0,301.0,Cluster 6,004201 2,4201.0,Precinct 141
1700 - 1789 BLOCK OF CORCORAN STREET NW,38.91186662,-77.03991897,2,2B,3.0,301.0,Cluster 6,005302 3,5302.0,Precinct 15
1700 - 1790 BLOCK OF SYCAMORE STREET NW,38.99151787,-77.04165627,4,4A,4.0,401.0,Cluster 16,001600 4,1600.0,Precinct 62
1700 - 1798 BLOCK OF TAMARACK STREET NW,38.99318623,-77.03999548,4,4A,4.0,401.0,Cluster 16,001600 4,1600.0,Precinct 62
1700 - 1799 BLOCK OF 13TH STREET SE,38.86853521,-76.98705006,8,8A,6.0,607.0,Cluster 34,007601 5,7601.0,Precinct 140
1700 - 1799 BLOCK OF 15TH STREET NW,38.9133503,-77.03454816,2,2B,3.0,301.0,Cluster 6,005202 2,5202.0,Precinct 16
1700 - 1799 BLOCK OF 1ST STREET NE,38.91286453,-77.00654723,5,5F,5.0,502.0,Cluster 21,008701 1,8701.0,Precinct 75
1700 - 1799 BLOCK OF 20TH STREET NW,38.91334778,-77.04487555,2,2B,2.0,208.0,Cluster 6,004202 2,4202.0,Precinct 14
1700 - 1799 BLOCK OF 21ST STREET NW,38.91332214,-77.04662642,2,2B,2.0,208.0,Cluster 6,005502 1,5502.0,Precinct 14
1700 - 1799 BLOCK OF 33RD PLACE SE,38.86874401,-76.95728925,7,7B,6.0,605.0,Cluster 34,009901 2,9901.0,Precinct 109
1700 - 1799 BLOCK OF 7TH STREET NW,38.91334839,-77.02191505,2,2G,3.0,307.0,Cluster 7,004901 1,4901.0,Precinct 21
1700 - 1799 BLOCK OF A STREET SE,38.88867232,-76.97987966,7,7D,1.0,107.0,Cluster 26,006801 1,6801.0,Precinct 87
1700 - 1799 BLOCK OF ALABAMA AVENUE SE,38.84714414,-76.97971089,8,8C,7.0,704.0,Cluster 38,007403 1,7403.0,Precinct 116
1700 - 1799 BLOCK OF BAY STREET SE,38.88664356,-76.97988084,7,7D,1.0,107.0,Cluster 26,006801 1,6801.0,Precinct 87
1700 - 1799 BLOCK OF BENNING ROAD NE,38.89925012,-76.97840907,7,7D,5.0,507.0,Cluster 25,007901 1,7901.0,Precinct 81
1700 - 1799 BLOCK OF BRUCE PLACE SE,38.85070863,-76.98042874,8,8C,7.0,704.0,Cluster 38,007404 1,7404.0,Precinct 117
1700 - 1799 BLOCK OF BUCHANAN STREET NE,38.94616495,-76.98065597,5,5A,4.0,405.0,Cluster 20,009503 1,9503.0,Precinct 67
1700 - 1799 BLOCK OF BUNKER HILL ROAD NE,38.942017,-76.98124619,5,5B,5.0,503.0,Cluster 20,009503 2,9503.0,Precinct 67
1700 - 1799 BLOCK OF C STREET SE,38.8853488,-76.97988638,7,7D,1.0,107.0,Cluster 26,006802 1,6802.0,Precinct 87
1700 - 1799 BLOCK OF CAPITOL AVENUE NE,38.91029007,-76.98724152,5,5D,5.0,501.0,Cluster 23,008803 2,8803.0,Precinct 76
1700 - 1799 BLOCK OF CHURCH STREET NW,38.91038803,-77.04007818,2,2B,2.0,208.0,Cluster 6,005303 2,5303.0,Precinct 15
1700 - 1799 BLOCK OF CONNECTICUT AVENUE NW,38.91334462,-77.0455887,2,2B,2.0,208.0,Cluster 6,005502 1,5502.0,Precinct 14
1700 - 1799 BLOCK OF CORCORAN STREET NE,38.91047805,-76.98785084,5,5D,5.0,501.0,Cluster 23,008803 2,8803.0,Precinct 76
1700 - 1799 BLOCK OF CRESTWOOD DRIVE NW,38.93846284,-77.03999062,4,4E,4.0,404.0,Cluster 18,002600 1,2600.0,Precinct 47
1700 - 1799 BLOCK OF D STREET NW,38.89433577,-77.04059896,2,2A,2.0,207.0,Cluster 45,010800 4,10800.0,Precinct 2
1700 - 1799 BLOCK OF DE SALES STREET NW,38.90475529,-77.03954641,2,2C,2.0,207.0,Cluster 6,010700 1,10700.0,Precinct 17
1700 - 1799 BLOCK OF E STREET NE,38.89611402,-76.97985051,7,7D,5.0,507.0,Cluster 25,007901 1,7901.0,Precinct 81
1700 - 1799 BLOCK OF EAST CAPITOL STREET,38.88980006,-76.97987823,7,7D,1.0,107.0,Cluster 26,006801 1,6801.0,Precinct 87
1700 - 1799 BLOCK OF FORT DAVIS STREET SE,38.86620462,-76.94910697,7,7B,6.0,605.0,Cluster 34,009902 2,9902.0,Precinct 110
1700 - 1799 BLOCK OF FRANKLIN STREET NE,38.92557941,-76.97987955,5,5C,5.0,505.0,Cluster 22,009102 1,9102.0,Precinct 72
1700 - 1799 BLOCK OF GALES PLACE NE,38.89856435,-76.9786154,7,7D,5.0,507.0,Cluster 25,007901 1,7901.0,Precinct 81
1700 - 1799 BLOCK OF GALES STREET NE,38.89795794,-76.97878643,7,7D,5.0,507.0,Cluster 25,007901 1,7901.0,Precinct 81
1700 - 1799 BLOCK OF GIRARD STREET NE,38.92664807,-76.97987348,5,5C,5.0,505.0,Cluster 22,009102 1,9102.0,Precinct 72
1700 - 1799 BLOCK OF H STREET NE,38.90019255,-76.97828036,5,5D,5.0,507.0,Cluster 23,008904 1,8904.0,Precinct 79
1700 - 1799 BLOCK OF HALF STREET SW,38.86885725,-77.01068762,6,6D,1.0,105.0,Cluster 9,006400 2,6400.0,Precinct 127
1700 - 1799 BLOCK OF HAMLIN STREET NE,38.92812996,-76.98000119,5,5B,5.0,504.0,Cluster 22,009301 3,9301.0,Precinct 70
1700 - 1799 BLOCK OF HOLBROOK STREET NE,38.90744217,-76.98068181,5,5D,5.0,506.0,Cluster 23,008804 2,8804.0,Precinct 78
1700 - 1799 BLOCK OF HOLLY STREET NW,38.98150991,-77.03884713,4,4A,4.0,401.0,Cluster 16,001600 4,1600.0,Precinct 62
1700 - 1799 BLOCK OF I STREET NW,38.90133591,-77.04057285,2,2C,2.0,207.0,Cluster 6,010700 1,10700.0,Precinct 17
1700 - 1799 BLOCK OF INDEPENDENCE AVENUE SE,38.88758941,-76.97987954,7,7D,1.0,107.0,Cluster 26,006801 1,6801.0,Precinct 87
1700 - 1799 BLOCK OF IRVING STREET NE,38.92896837,-76.98008561,5,5B,5.0,504.0,Cluster 22,009301 3,9301.0,Precinct 70
1700 - 1799 BLOCK OF JACKSON STREET NE,38.93010668,-76.98016429,5,5B,5.0,504.0,Cluster 22,009301 1,9301.0,Precinct 70
1700 - 1799 BLOCK OF JOHNSON AVENUE NW,38.91335202,-77.03324858,2,2F,3.0,301.0,Cluster 7,005202 3,5202.0,Precinct 16
1700 - 1799 BLOCK OF K STREET NW,38.90252492,-77.04056719,2,2C,2.0,207.0,Cluster 6,010700 1,10700.0,Precinct 17
1700 - 1799 BLOCK OF KEARNY STREET NE,38.93109427,-76.98024302,5,5B,5.0,504.0,Cluster 22,009301 1,9301.0,Precinct 70
1700 - 1799 BLOCK OF KENYON STREET NW,38.92968954,-77.04008038,1,1D,3.0,302.0,Cluster 2,002702 3,2702.0,Precinct 39
1700 - 1799 BLOCK OF KILBOURNE PLACE NW,38.93056605,-77.04007672,1,1D,3.0,302.0,Cluster 2,002702 3,2702.0,Precinct 39
1700 - 1799 BLOCK OF LAMONT STREET NW,38.93144589,-77.04006372,1,1D,3.0,302.0,Cluster 2,002702 3,2702.0,Precinct 40
1700 - 1799 BLOCK OF LAWRENCE STREET NE,38.93208394,-76.98031932,5,5B,5.0,504.0,Cluster 22,009301 1,9301.0,Precinct 70
1700 - 1799 BLOCK OF MASSACHUSETTS AVENUE NW,38.90847745,-77.04008587,2,2B,2.0,208.0,Cluster 6,010700 2,10700.0,Precinct 15
1700 - 1799 BLOCK OF MICHIGAN AVENUE NE,38.94382159,-76.97992723,5,5B,5.0,503.0,Cluster 20,009400 1,9400.0,Precinct 69
1700 - 1799 BLOCK OF MINNESOTA AVENUE SE,38.86890168,-76.97988746,8,8A,6.0,607.0,Cluster 34,007601 4,7601.0,Precinct 133
1700 - 1799 BLOCK OF MISSISSIPPI AVENUE SE,38.84338188,-76.97831558,8,8E,7.0,704.0,Cluster 38,007409 3,7409.0,Precinct 116
1700 - 1799 BLOCK OF N STREET NW,38.9072415,-77.04009106,2,2B,2.0,208.0,Cluster 6,010700 2,10700.0,Precinct 15
1700 - 1799 BLOCK OF NEWTON STREET NE,38.93405417,-76.98047287,5,5B,5.0,504.0,Cluster 22,009301 1,9301.0,Precinct 68
1700 - 1799 BLOCK OF P STREET NW,38.90964547,-77.04008007,2,2B,2.0,208.0,Cluster 6,005303 2,5303.0,Precinct 15
1700 - 1799 BLOCK OF PENNSYLVANIA AVENUE NW,38.89920615,-77.04058121,2,2A,2.0,207.0,Cluster 5,010700 1,10700.0,Precinct 17
1700 - 1799 BLOCK OF POPLAR LANE NW,38.98699205,-77.04092219,4,4A,4.0,401.0,Cluster 16,001600 4,1600.0,Precinct 62
1700 - 1799 BLOCK OF Q STREET NW,38.91112662,-77.04007664,2,2B,2.0,208.0,Cluster 6,005303 2,5303.0,Precinct 15
1700 - 1799 BLOCK OF RHODE ISLAND AVENUE NE,38.92726289,-76.97992301,5,5B,5.0,504.0,Cluster 22,009102 1,9102.0,Precinct 70
1700 - 1799 BLOCK OF RHODE ISLAND AVENUE NW,38.90610249,-77.03980945,2,2B,2.0,208.0,Cluster 6,010700 2,10700.0,Precinct 17
1700 - 1799 BLOCK OF RIGGS PLACE NW,38.91335323,-77.04080972,2,2B,3.0,301.0,Cluster 6,004202 1,4202.0,Precinct 15
1700 - 1799 BLOCK OF S STREET SE,38.86822947,-76.9798903,8,8A,6.0,607.0,Cluster 34,007601 4,7601.0,Precinct 133
1700 - 1799 BLOCK OF SAVANNAH STREET SE,38.84591811,-76.97905351,8,8C,7.0,704.0,Cluster 38,007403 1,7403.0,Precinct 116
1700 - 1799 BLOCK OF SEATON STREET NW,38.91756579,-77.03951927,1,1B,3.0,301.0,Cluster 6,004201 2,4201.0,Precinct 24
1700 - 1799 BLOCK OF SUMMIT PLACE NW,38.92630572,-77.04094549,1,1C,3.0,303.0,Cluster 1,003901 2,3901.0,Precinct 35
1700 - 1799 BLOCK OF SWANN STREET NW,38.91483351,-77.04019633,2,2B,3.0,301.0,Cluster 6,004201 3,4201.0,Precinct 141
1700 - 1799 BLOCK OF T STREET NW,38.91557386,-77.04006876,2,2B,3.0,301.0,Cluster 6,004201 3,4201.0,Precinct 141
1700 - 1799 BLOCK OF T STREET SE,38.86726654,-76.97989155,8,8A,6.0,607.0,Cluster 34,007605 2,7605.0,Precinct 112
1700 - 1799 BLOCK OF TAYLOR STREET NE,38.94072072,-76.98080578,5,5B,5.0,503.0,Cluster 24,009503 2,9503.0,Precinct 68
1700 - 1799 BLOCK OF TAYLOR STREET NW,38.94081552,-77.03978673,4,4E,4.0,404.0,Cluster 18,002600 1,2600.0,Precinct 47
1700 - 1799 BLOCK OF TOBIAS DRIVE SE,38.8499312,-76.98038414,8,8C,7.0,704.0,Cluster 38,007404 1,7404.0,Precinct 117
1700 - 1799 BLOCK OF TRENTON PLACE SE,38.84477319,-76.97842349,8,8E,7.0,704.0,Cluster 38,007409 3,7409.0,Precinct 116
1700 - 1799 BLOCK OF V STREET NW,38.91811527,-77.03905649,1,1B,3.0,301.0,Cluster 6,004201 2,4201.0,Precinct 24
1700 - 1799 BLOCK OF VERBENA STREET NW,38.99356501,-77.03898934,4,4A,4.0,401.0,Cluster 16,001600 4,1600.0,Precinct 62
1700 - 1799 BLOCK OF VERMONT AVENUE NW,38.91319361,-77.02754168,2,2F,3.0,307.0,Cluster 7,005001 1,5001.0,Precinct 16
1700 - 1799 BLOCK OF WEBSTER STREET NW,38.94400419,-77.04004575,4,4E,4.0,404.0,Cluster 18,002600 2,2600.0,Precinct 48
1700 - 1799 BLOCK OF WEST VIRGINIA AVENUE NE,38.90996279,-76.98636532,5,5D,5.0,506.0,Cluster 23,008804 2,8804.0,Precinct 76
1700 - 1799 BLOCK OF WILLARD STREET NW,38.91628705,-77.04006443,2,2B,3.0,301.0,Cluster 6,004201 2,4201.0,Precinct 141
1700 - 1799 BLOCK OF WISCONSIN AVENUE NW,38.91421301,-77.06694488,2,2E,2.0,206.0,Cluster 4,000202 1,202.0,Precinct 6
1700 - 1899 BLOCK OF 27TH STREET SE,38.86872195,-76.96897105,7,7B,6.0,607.0,Cluster 34,007604 1,7604.0,Precinct 111
1700 - 1899 BLOCK OF 28TH STREET SE,38.86856632,-76.96777803,7,7B,6.0,607.0,Cluster 34,007604 1,7604.0,Precinct 111
1700 - 1899 BLOCK OF 41ST PLACE SE,38.86668071,-76.94476957,7,7B,6.0,605.0,Cluster 34,009902 2,9902.0,Precinct 110
1700 - 1899 BLOCK OF LANG PLACE NE,38.90436806,-76.97760431,5,5D,5.0,507.0,Cluster 23,008903 2,8903.0,Precinct 78
1700 - 1899 BLOCK OF LYMAN PLACE NE,38.90497072,-76.97760193,5,5D,5.0,507.0,Cluster 23,008903 2,8903.0,Precinct 78
1700 - 1899 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,38.86808026,-76.98829467,8,8A,7.0,701.0,Cluster 34,007601 5,7601.0,Precinct 140
1700 - 1999 BLOCK OF TULIP STREET NW,38.99285265,-77.04208415,4,4A,4.0,401.0,Cluster 16,001600 4,1600.0,Precinct 62
1701 - 1710 BLOCK OF FLORIDA AVENUE NW,38.91830907,-77.03924686,1,1C,3.0,303.0,Cluster 1,003801 2,3801.0,Precinct 24
1701 - 1719 BLOCK OF 10TH STREET NW,38.91297236,-77.02598997,2,2G,3.0,307.0,Cluster 7,004901 1,4901.0,Precinct 21
1705 - 1799 BLOCK OF 6TH STREET NW,38.91356387,-77.01990006,2,2G,3.0,308.0,Cluster 7,004801 2,4801.0,Precinct 21
1706 - 1799 BLOCK OF 2ND STREET NW,38.91371407,-77.01412648,5,5E,3.0,308.0,Cluster 21,003400 3,3400.0,Precinct 19
1707 - 1799 BLOCK OF S STREET NW,38.91409257,-77.04046838,2,2B,3.0,301.0,Cluster 6,004201 3,4201.0,Precinct 141
1710 - 1799 BLOCK OF 16TH STREET SE,38.86853798,-76.98222135,8,8A,6.0,607.0,Cluster 34,007601 4,7601.0,Precinct 140
1710 - 1799 BLOCK OF 9TH STREET NW,38.9137113,-77.02396792,2,2G,3.0,307.0,Cluster 7,004901 1,4901.0,Precinct 21
1712 - 1731 BLOCK OF 22ND STREET SE,38.86855007,-76.97496373,8,8A,6.0,607.0,Cluster 34,007601 2,7601.0,Precinct 133
1712 - 1799 BLOCK OF 5TH STREET NW,38.91372339,-77.01892417,2,2G,3.0,308.0,Cluster 7,004801 2,4801.0,Precinct 21
1714 - 1779 BLOCK OF 4TH STREET NW,38.91353931,-77.01616952,5,5E,3.0,308.0,Cluster 21,004600 2,4600.0,Precinct 19
1718 - 1799 BLOCK OF L STREET NW,38.90374258,-77.04084227,2,2C,2.0,207.0,Cluster 6,010700 1,10700.0,Precinct 17
1718 - 1899 BLOCK OF CONSTITUTION AVENUE NE,38.89200904,-76.97856008,7,7D,1.0,108.0,Cluster 25,008002 2,8002.0,Precinct 86
1720 - 1799 BLOCK OF 16TH STREET NW,38.91371958,-77.03651243,2,2B,3.0,301.0,Cluster 6,005302 1,5302.0,Precinct 15
1720 - 1799 BLOCK OF 1ST STREET NW,38.91371447,-77.01215778,5,5E,3.0,308.0,Cluster 21,003302 1,3302.0,Precinct 19
1720 - 1799 BLOCK OF 3RD STREET NE,38.91370959,-77.002035,5,5F,5.0,502.0,Cluster 21,008702 3,8702.0,Precinct 75
1720 - 1799 BLOCK OF LINCOLN ROAD NE,38.91371175,-77.008213,5,5F,5.0,502.0,Cluster 21,008701 1,8701.0,Precinct 75
1720 - 1799 BLOCK OF OTIS PLACE NE,38.93573381,-76.98022259,5,5B,5.0,504.0,Cluster 22,009503 2,9503.0,Precinct 68
1721 - 1799 BLOCK OF 14TH STREET NW,38.91372155,-77.03195354,2,2F,3.0,301.0,Cluster 7,005202 3,5202.0,Precinct 16
1721 - 1799 BLOCK OF 18TH STREET NW,38.91372389,-77.04166053,2,2B,3.0,301.0,Cluster 6,004202 1,4202.0,Precinct 15
1721 - 1799 BLOCK OF 19TH STREET NW,38.91372685,-77.04342918,2,2B,2.0,208.0,Cluster 6,004202 2,4202.0,Precinct 14
1721 - 1799 BLOCK OF D STREET NE,38.89477774,-76.97943336,7,7D,5.0,507.0,Cluster 25,007901 2,7901.0,Precinct 81
1721 - 1899 BLOCK OF TAMARACK STREET NW,38.99421684,-77.04133094,4,4A,4.0,401.0,Cluster 16,001600 4,1600.0,Precinct 62
1722 - 1799 BLOCK OF 13TH STREET NW,38.91371757,-77.02962209,2,2F,3.0,307.0,Cluster 7,005001 2,5001.0,Precinct 16
1722 - 1799 BLOCK OF ERIE STREET SE,38.8573045,-76.97933137,8,8B,7.0,702.0,Cluster 37,007407 1,7407.0,Precinct 118
1723 - 1799 BLOCK OF BLADENSBURG ROAD NE,38.91376584,-76.97535742,5,5C,5.0,503.0,Cluster 23,011100 3,11100.0,Precinct 72
